gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",37,en,Christmas/Children's Literature,Public domain in the USA.,TRUE
98,A Tale of Two Cities,"Dickens, Charles",37,en,Historical Fiction,Public domain in the USA.,TRUE
564,The Mystery of Edwin Drood,"Dickens, Charles",37,en,Mystery Fiction,Public domain in the USA.,TRUE
580,The Pickwick Papers,"Dickens, Charles",37,en,Best Books Ever Listings,Public domain in the USA.,TRUE
588,Master Humphrey's Clock,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
644,The Haunted Man and the Ghost's Bargain,"Dickens, Charles",37,en,Christmas,Public domain in the USA.,TRUE
650,Pictures from Italy,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
653,"The Chimes
A Goblin Story of Some Bells That Rang an Old Year out and a New Year In","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
675,American Notes,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
676,The Battle of Life,"Dickens, Charles",37,en,Christmas,Public domain in the USA.,FALSE
678,The Cricket on the Hearth: A Fairy Tale of Home,"Dickens, Charles",37,en,Children's Literature,Public domain in the USA.,TRUE
699,A Child's History of England,"Dickens, Charles",37,en,Children's History/United Kingdom,Public domain in the USA.,TRUE
700,The Old Curiosity Shop,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
730,Oliver Twist,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
766,David Copperfield,"Dickens, Charles",37,en,Harvard Classics,Public domain in the USA.,TRUE
786,Hard Times,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
807,Hunted Down: The Detective Stories of Charles Dickens,"Dickens, Charles",37,en,Detective Fiction,Public domain in the USA.,TRUE
809,Holiday Romance,"Dickens, Charles",37,en,Children's Picture Books,Public domain in the USA.,TRUE
810,George Silverman's Explanation,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
821,Dombey and Son,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
824,Speeches: Literary and Social,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
872,Reprinted Pieces,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
882,"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People","Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
883,Our Mutual Friend,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
912,Mudfog and Other Sketches,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
914,The Uncommercial Traveller,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
916,Sketches of Young Couples,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
917,Barnaby Rudge: A Tale of the Riots of 'Eighty,"Dickens, Charles",37,en,Historical Fiction,Public domain in the USA.,TRUE
918,Sketches of Young Gentlemen,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
922,Sunday Under Three Heads,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
924,To Be Read at Dusk,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
927,The Lamplighter,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
963,Little Dorrit,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
967,Nicholas Nickleby,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
968,Martin Chuzzlewit,"Dickens, Charles",37,en,Best Books Ever Listings,Public domain in the USA.,TRUE
1023,Bleak House,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
1289,Three Ghost Stories,"Dickens, Charles",37,en,NA,Public domain in the USA.,TRUE
